"year","cpue","lwr","upr"
"2005",15.4178472848121,13.099539414227,18.1464406786408
"2006",18.4302040014786,15.821118822475,21.4695574533951
"2007",17.0805886678372,14.7410529640121,19.7914294149881
"2008",22.3042625176879,19.2349879537622,25.8632928522648
"2009",24.350860556099,21.0278781610758,28.1989654534046
"2010",20.8443712051698,18.044871899842,24.0781876064588
"2011",20.7017842624563,17.9804531983029,23.834987189852
"2012",16.1346975084029,14.0301200491439,18.5549705045858
"2013",14.8047997770267,12.8387019041163,17.0719826719848
"2014",12.9738115200448,11.1985641590914,15.0304791727248
"2015",16.0509856375204,13.9897610049591,18.4159071655735
"2016",14.0080707542159,12.2091870916572,16.0719992888967
"2017",13.9320606617541,12.0977231798589,16.0445326279204
"2018",16.9854959492138,14.8023554350101,19.4906191725669
"2019",16.5713120380168,14.4190320156016,19.0448556022476
